Bezirk;Standort;Straße;PLZ ;Straße;PLZ;Ort;Kostenfrei ?;Betreiber;Versorgungsbereich
Mitte;Friedrichstr. 131 / Reinhardtstr.;;;Friedrichstraße 131;10117;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Wilhelmstr. / Behrenstr.;;;Wilhelmstraße 76;10117;Berlin;J;Kabel Deutschland;Unter den Linden
Prenzlauer Berg;Kastanienallee / Oderberger Str.;;;Oderberger Straße 32-53;10435;Berlin;J;Kabel Deutschland;Kastanienallee
Prenzlauer Berg;Schönhauser Allee 142;;;Schönhauser Allee 142;10437;Berlin;J;Kabel Deutschland;Kastanienallee
Prenzlauer Berg;Pappelallee / Danziger Str.;;;Pappelallee 1;10437;Berlin;J;Kabel Deutschland;Kastanienallee
Prenzlauer Berg;Knaackstr. 37;;;Knaackstraße 37;10435;Berlin;J;Kabel Deutschland;Kollwitzplatz
Prenzlauer Berg;Wörther Str. 13;;;Wörther Straße 13;10435;Berlin;J;Kabel Deutschland;Kollwitzplatz
Prenzlauer Berg;Knaackstr. / Wörther Str.;;;Knaackstraße 52;10435;Berlin;J;Kabel Deutschland;Kollwitzplatz
Schöneberg;Senatsverwaltung für Wirtschaft, Technologie und Forschung;;;Martin- Luther- Str. 105;10825;Berlin;J;Kabel Deutschland;Innenbereich
Tiergarten;John-Foster-Dulles-Allee 10/ Haus der Kulturen;;;John-Foster-Dulles-Allee 10;10557;Berlin;J;Kabel Deutschland;Tiergarten  
Charlottenburg;Fasanenstraße 75 (vor BHI - Dresdner Bank);;;Fasanenstraße 75;10623;Berlin;J;Kabel Deutschland;Kurfürstendamm
Charlottenburg;Straße des 17. Juni 145 / Ecke Ernst- Reuter Platz;;;Straße des 17. Juni 145;10623;Berlin;J;Kabel Deutschland;Kurfürstendamm
Charlottenburg;Kantstraße 162;;;Kantstraße 162;10623;Berlin;J;Kabel Deutschland;Kurfürstendamm
Schöneberg;Maaßenstraße 1;;;Maaßenstraße 1;10777;Berlin;J;Kabel Deutschland;Nollendorfplatz
Charlottenburg;Meierottostraße/ Bundesallee;;;Meierottostraße;10719;Berlin;J;Kabel Deutschland;Fasanenplatz
Tiergarten;Potsdamer Str. / Scharounstr. ;;;Potsdamer Str.;10785;Berlin;J;Kabel Deutschland;Potsdamer Platz
Tiergarten;Potsdamer Str. / Schöneberger Ufer (Kneipe);;;Schöneberger Ufer 51;10785; Berlin ;J;Kabel Deutschland;Potsdamer Platz
Tiergarten;Linkstraße 10;;;Linkstraße 10;10785;Berlin;J;Kabel Deutschland;Potsdamer Platz
Tiergarten;In den Ministergärten 7 / Ecke Ebertstr.;;;In den Ministergärten 7;10117;Berlin;J;Kabel Deutschland;Potsdamer Platz
Tiergarten;Potsdamer Str./ Ludwig- Beck-Str. ;;;Potsdamer Str. 5;10785;Berlin;J;Kabel Deutschland;Potsdamer Platz
Charlottenburg- Wilmersdorf;Bürgeramt ;;;Hohenzollerndamm 177;10713;Berlin;J;Kabel Deutschland;Bürgeramt Innenbereich



;Kabel Deutschland
